Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,1024
Coarse Gain:,0
Fine Gain:,1
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,172889.43
Elapsed Live Time:,172889.37
Start Time:,April 13, 2016, 10:14:41
End Time:,April 13, 2016, 10:14:38
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,3
9,,20
10,,17
11,,21
12,,19
13,,21
14,,12
15,,23
16,,25
17,,23
18,,20
19,,17
20,,15
21,,19
22,,19
23,,18
24,,24
25,,26
26,,27
27,,15
28,,23
29,,14
30,,26
31,,16
32,,21
33,,20
34,,13
35,,26
36,,19
37,,17
38,,18
39,,17
40,,20
41,,11
42,,17
43,,26
44,,19
45,,18
46,,22
47,,21
48,,21
49,,19
50,,17
51,,12
52,,19
53,,10
54,,14
55,,21
56,,21
57,,19
58,,19
59,,12
60,,10
61,,12
62,,21
63,,7
64,,12
65,,15
66,,8
67,,17
68,,22
69,,12
70,,10
71,,11
72,,13
73,,10
74,,18
75,,17
76,,17
77,,17
78,,15
79,,13
80,,19
81,,13
82,,15
83,,14
84,,20
85,,17
86,,18
87,,17
88,,19
89,,14
90,,17
91,,14
92,,21
93,,15
94,,19
95,,11
96,,13
97,,13
98,,16
99,,8
100,,11
101,,12
102,,7
103,,17
104,,17
105,,9
106,,12
107,,9
108,,9
109,,17
110,,20
111,,10
112,,9
113,,7
114,,10
115,,9
116,,14
117,,15
118,,12
119,,15
120,,13
121,,9
122,,13
123,,7
124,,14
125,,10
126,,17
127,,12
128,,11
129,,11
130,,10
131,,15
132,,12
133,,15
134,,14
135,,9
136,,13
137,,12
138,,16
139,,9
140,,12
141,,8
142,,16
143,,8
144,,5
145,,11
146,,13
147,,14
148,,12
149,,16
150,,16
151,,15
152,,9
153,,13
154,,9
155,,8
156,,8
157,,12
158,,9
159,,13
160,,6
161,,9
162,,9
163,,17
164,,14
165,,10
166,,7
167,,6
168,,13
169,,11
170,,15
171,,14
172,,10
173,,14
174,,8
175,,6
176,,15
177,,14
178,,13
179,,9
180,,5
181,,19
182,,12
183,,9
184,,16
185,,9
186,,11
187,,12
188,,12
189,,10
190,,9
191,,10
192,,6
193,,12
194,,8
195,,14
196,,8
197,,12
198,,12
199,,9
200,,19
201,,7
202,,9
203,,9
204,,13
205,,12
206,,11
207,,9
208,,9
209,,8
210,,12
211,,13
212,,13
213,,8
214,,14
215,,5
216,,8
217,,7
218,,10
219,,9
220,,6
221,,8
222,,7
223,,4
224,,7
225,,7
226,,12
227,,8
228,,9
229,,10
230,,10
231,,9
232,,7
233,,13
234,,9
235,,8
236,,10
237,,7
238,,10
239,,5
240,,7
241,,7
242,,6
243,,7
244,,7
245,,10
246,,11
247,,5
248,,15
249,,7
250,,9
251,,4
252,,11
253,,11
254,,8
255,,7
256,,3
257,,11
258,,10
259,,8
260,,4
261,,2
262,,12
263,,6
264,,6
265,,9
266,,10
267,,10
268,,5
269,,6
270,,10
271,,6
272,,5
273,,6
274,,3
275,,8
276,,9
277,,8
278,,1
279,,4
280,,16
281,,8
282,,8
283,,8
284,,6
285,,6
286,,5
287,,8
288,,5
289,,5
290,,6
291,,6
292,,6
293,,3
294,,5
295,,6
296,,5
297,,4
298,,6
299,,7
300,,6
301,,7
302,,4
303,,2
304,,13
305,,1
306,,8
307,,8
308,,3
309,,11
310,,8
311,,4
312,,8
313,,6
314,,1
315,,5
316,,6
317,,5
318,,5
319,,5
320,,3
321,,6
322,,10
323,,8
324,,5
325,,2
326,,5
327,,5
328,,5
329,,6
330,,3
331,,3
332,,6
333,,6
334,,6
335,,5
336,,6
337,,3
338,,4
339,,4
340,,7
341,,8
342,,6
343,,6
344,,9
345,,7
346,,5
347,,2
348,,3
349,,7
350,,4
351,,6
352,,4
353,,7
354,,3
355,,5
356,,4
357,,5
358,,5
359,,5
360,,1
361,,5
362,,7
363,,4
364,,6
365,,5
366,,6
367,,6
368,,3
369,,6
370,,1
371,,2
372,,8
373,,1
374,,4
375,,6
376,,8
